region,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,nctr_not_discharged_rate,nctr_discharged_rate
SOUTH EAST,3604.4445788530466,1337.016231438812,2267.4283474142344,1316193.0,488324.0,827869.0,62.89875421005886,37.10124578994114
NORTH WEST,3563.8070788530463,1368.032379672299,2195.7746991807476,1300349.0,499098.0,801251.0,61.61815020429131,38.38184979570869
SOUTH WEST,2730.7241359447003,1146.3993791602663,1584.3247567844344,996596.0,418584.0,578012.0,57.99862732742255,42.00137267257745
LONDON,2983.910739887353,1270.6993151561699,1713.211424731183,1088734.0,463799.0,624935.0,57.400154675062964,42.599845324937036
NORTH EAST AND YORKSHIRE,3727.615156169995,1602.241730670763,2125.373425499232,1360315.0,584989.0,775326.0,56.996063411783304,43.0039365882167
MIDLANDS,4040.6270609319,1860.2702956989249,2180.3567652329752,1474405.0,679028.0,795377.0,53.94562552351626,46.05437447648374
EAST OF ENGLAND,2077.3553059395804,1161.7157642089094,915.6395417306708,758294.0,424189.0,334105.0,44.060087512231405,55.939912487768595
