reporting_quarter,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,nctr_not_discharged_rate,nctr_discharged_rate,quarter_order
Q1,22382.967383512543,9888.413978494624,12494.553405017921,2037070.0,899888.0,1137182.0,55.82439484161075,44.17560515838925,1
Q2,22513.66523297491,9879.528315412186,12634.136917562724,2071117.0,908957.0,1162160.0,56.11271598852213,43.88728401147786,2
Q3,22801.174193548388,9756.321146953405,13044.853046594983,2097777.0,897785.0,1199992.0,57.203029683326676,42.79697031667332,3
Q4,23216.12941628264,9461.236943164362,13754.89247311828,2088922.0,851381.0,1237541.0,59.24304497726579,40.75695502273422,4
