region,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,nctr_not_discharged_rate,nctr_discharged_rate
SOUTH EAST,3485.685483870968,1233.8878648233488,2251.797619047619,313992.0,111125.0,202867.0,64.60897092919565,35.39102907080435
NORTH EAST AND YORKSHIRE,3822.0061443932414,1474.9070660522273,2347.099078341014,343822.0,132685.0,211137.0,61.408810372809185,38.591189627190815
NORTH WEST,3742.3279569892475,1460.4696620583718,2281.858294930875,336494.0,131228.0,205266.0,61.001384868675224,38.998615131324776
LONDON,3108.246543778802,1237.1524577572964,1871.0940860215053,279594.0,111298.0,168296.0,60.19299412719873,39.80700587280128
SOUTH WEST,2769.9374039938557,1117.1509216589861,1652.7864823348693,249221.0,100599.0,148622.0,59.63462148053335,40.36537851946666
MIDLANDS,4177.89247311828,1859.5887096774193,2318.30376344086,375854.0,167370.0,208484.0,55.46941099469475,44.53058900530525
EAST OF ENGLAND,2110.0334101382487,1078.0802611367128,1031.953149001536,189945.0,97076.0,92869.0,48.892574166206,51.107425833794
