region,icb,org_code,org_name,avg_daily_nctr,avg_daily_discharged,avg_daily_not_discharged,total_nctr,total_discharged,total_not_discharged,reporting_days,nctr_not_discharged_rate,nctr_discharged_rate
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,370.76164383561644,127.13972602739726,243.62191780821917,135328.0,46406.0,88922.0,365,65.70850082761882,34.29149917238118
EAST OF ENGLAND,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,197.84657534246574,67.86849315068493,129.97808219178083,72214.0,24772.0,47442.0,365,65.69640235965325,34.303597640346744
SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,264.44109589041096,91.58356164383562,172.85753424657534,96521.0,33428.0,63093.0,365,65.36712218066535,34.63287781933465
NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,313.013698630137,108.93698630136986,204.07671232876712,114250.0,39762.0,74488.0,365,65.19737417943107,34.80262582056893
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RMC,BOLTON NHS FOUNDATION TRUST,135.87123287671233,48.446575342465756,87.42465753424658,49593.0,17683.0,31910.0,365,64.34375819168028,35.65624180831972
SOUTH WEST,NHS SOMERSET INTEGRATED CARE BOARD,RH5,SOMERSET NHS FOUNDATION TRUST,301.0712328767123,107.63835616438357,193.43287671232878,109891.0,39288.0,70603.0,365,64.24820958950232,35.75179041049768
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,350.4547945205479,126.96164383561644,223.4931506849315,127916.0,46341.0,81575.0,365,63.772319334563306,36.227680665436694
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,257.23835616438356,93.9945205479452,163.24383561643836,93892.0,34308.0,59584.0,365,63.46014569931411,36.53985430068589
SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,106.26027397260275,39.016438356164386,67.24383561643836,38785.0,14241.0,24544.0,365,63.28219672553822,36.71780327446177
SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",RVJ,NORTH BRISTOL NHS TRUST,288.7150684931507,106.42739726027398,182.2876712328767,105381.0,38846.0,66535.0,365,63.13756749319137,36.86243250680863
LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,292.50958904109586,107.87123287671233,184.63835616438357,106766.0,39373.0,67393.0,365,63.12215499316262,36.87784500683738
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",138.07671232876712,50.95890410958904,87.11780821917809,50398.0,18600.0,31798.0,365,63.093773562442955,36.906226437557045
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,208.93424657534246,77.27671232876712,131.65753424657535,76261.0,28206.0,48055.0,365,63.013860295563916,36.986139704436084
SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",RNZ,SALISBURY NHS FOUNDATION TRUST,127.8986301369863,47.608219178082194,80.2904109589041,46683.0,17377.0,29306.0,365,62.776599618704886,37.22340038129512
MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,465.8821917808219,175.42739726027398,290.4547945205479,170047.0,64031.0,106016.0,365,62.345116350185535,37.654883649814465
SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,323.2219178082192,121.73972602739725,201.48219178082192,117976.0,44435.0,73541.0,365,62.335559774869466,37.664440225130534
LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ2,LEWISHAM AND GREENWICH NHS TRUST,246.25205479452055,92.92054794520548,153.33150684931508,89882.0,33916.0,55966.0,365,62.266082196657834,37.73391780334216
EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",58.69041095890411,22.167123287671235,36.52328767123288,21422.0,8091.0,13331.0,365,62.23041732798058,37.76958267201942
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,450.1205479452055,170.8876712328767,279.2328767123288,164294.0,62374.0,101920.0,365,62.035132141161576,37.964867858838424
NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,150.17260273972602,57.09315068493151,93.07945205479452,54813.0,20839.0,33974.0,365,61.981646689653914,38.018353310346086
SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,299.1315068493151,114.08767123287672,185.04383561643834,109183.0,41642.0,67541.0,365,61.86036287700466,38.13963712299534
