delay_reason_category,total_value,avg_monthly_value,unique_reasons
Capacity,44031.51666681,333.5720959606818,11
Interface process,31044.20000007,517.4033333345,5
Hospital process,30219.0166667,359.75019841309523,7
Care transfer hub process,18741.20000007,520.5888888908333,3
Other,9477.9833333,112.83313492023811,7
Wellbeing concerns,7619.9166667,158.74826388958334,4
